
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1184
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       8316
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4148
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:6000           0.0.0.0:0              LISTENING       16864
  TCP    0.0.0.0:8680           0.0.0.0:0              LISTENING       18384
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       8316
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       840
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       380
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1996
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2304
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3084
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       6140
  TCP    0.0.0.0:49680          0.0.0.0:0              LISTENING       6728
  TCP    0.0.0.0:49688          0.0.0.0:0              LISTENING       812
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       15856
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       20460
  TCP    127.0.0.1:5037         127.0.0.1:56692        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56693        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56695        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56696        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56699        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56700        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56701        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:56702        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59557        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59558        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59561        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59562        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59564        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59565        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59567        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59568        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59572        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59573        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59574        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59575        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59576        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:59577        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61322        ESTABLISHED     20460
  TCP    127.0.0.1:5037         127.0.0.1:64559        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64560        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64562        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64563        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64566        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64567        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64569        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64570        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64572        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64573        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64574        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64575        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64577        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64578        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64580        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64581        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64749        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64750        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64767        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64768        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64769        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64772        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:64773        TIME_WAIT       0
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       6768
  TCP    127.0.0.1:5354         127.0.0.1:61317        ESTABLISHED     6768
  TCP    127.0.0.1:5354         127.0.0.1:61323        ESTABLISHED     6768
  TCP    127.0.0.1:5354         127.0.0.1:61324        ESTABLISHED     6768
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:8599         0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:10250        0.0.0.0:0              LISTENING       24268
  TCP    127.0.0.1:11397        0.0.0.0:0              LISTENING       24400
  TCP    127.0.0.1:11397        127.0.0.1:53423        ESTABLISHED     24400
  TCP    127.0.0.1:13793        0.0.0.0:0              LISTENING       18384
  TCP    127.0.0.1:13793        127.0.0.1:53401        ESTABLISHED     18384
  TCP    127.0.0.1:14947        0.0.0.0:0              LISTENING       2844
  TCP    127.0.0.1:14947        127.0.0.1:53432        ESTABLISHED     2844
  TCP    127.0.0.1:16768        0.0.0.0:0              LISTENING       24400
  TCP    127.0.0.1:18131        0.0.0.0:0              LISTENING       18384
  TCP    127.0.0.1:18131        127.0.0.1:53414        ESTABLISHED     18384
  TCP    127.0.0.1:49672        0.0.0.0:0              LISTENING       7588
  TCP    127.0.0.1:49673        0.0.0.0:0              LISTENING       5084
  TCP    127.0.0.1:49675        127.0.0.1:49676        ESTABLISHED     8316
  TCP    127.0.0.1:49676        127.0.0.1:49675        ESTABLISHED     8316
  TCP    127.0.0.1:49677        127.0.0.1:49678        ESTABLISHED     8316
  TCP    127.0.0.1:49678        127.0.0.1:49677        ESTABLISHED     8316
  TCP    127.0.0.1:49710        0.0.0.0:0              LISTENING       13792
  TCP    127.0.0.1:49710        127.0.0.1:54051        ESTABLISHED     13792
  TCP    127.0.0.1:51613        0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:53380        127.0.0.1:53381        ESTABLISHED     18384
  TCP    127.0.0.1:53381        127.0.0.1:53380        ESTABLISHED     18384
  TCP    127.0.0.1:53382        127.0.0.1:53383        ESTABLISHED     18384
  TCP    127.0.0.1:53383        127.0.0.1:53382        ESTABLISHED     18384
  TCP    127.0.0.1:53384        127.0.0.1:53385        ESTABLISHED     18384
  TCP    127.0.0.1:53385        127.0.0.1:53384        ESTABLISHED     18384
  TCP    127.0.0.1:53386        127.0.0.1:53387        ESTABLISHED     18384
  TCP    127.0.0.1:53387        127.0.0.1:53386        ESTABLISHED     18384
  TCP    127.0.0.1:53388        127.0.0.1:53389        ESTABLISHED     18384
  TCP    127.0.0.1:53389        127.0.0.1:53388        ESTABLISHED     18384
  TCP    127.0.0.1:53393        127.0.0.1:53394        ESTABLISHED     24400
  TCP    127.0.0.1:53394        127.0.0.1:53393        ESTABLISHED     24400
  TCP    127.0.0.1:53395        127.0.0.1:53396        ESTABLISHED     24400
  TCP    127.0.0.1:53396        127.0.0.1:53395        ESTABLISHED     24400
  TCP    127.0.0.1:53397        127.0.0.1:53398        ESTABLISHED     24400
  TCP    127.0.0.1:53398        127.0.0.1:53397        ESTABLISHED     24400
  TCP    127.0.0.1:53399        127.0.0.1:53400        ESTABLISHED     24400
  TCP    127.0.0.1:53400        127.0.0.1:53399        ESTABLISHED     24400
  TCP    127.0.0.1:53401        127.0.0.1:13793        ESTABLISHED     24400
  TCP    127.0.0.1:53402        127.0.0.1:53403        ESTABLISHED     24400
  TCP    127.0.0.1:53403        127.0.0.1:53402        ESTABLISHED     24400
  TCP    127.0.0.1:53404        127.0.0.1:53405        ESTABLISHED     24400
  TCP    127.0.0.1:53405        127.0.0.1:53404        ESTABLISHED     24400
  TCP    127.0.0.1:53406        127.0.0.1:53407        ESTABLISHED     2844
  TCP    127.0.0.1:53407        127.0.0.1:53406        ESTABLISHED     2844
  TCP    127.0.0.1:53408        127.0.0.1:53409        ESTABLISHED     2844
  TCP    127.0.0.1:53409        127.0.0.1:53408        ESTABLISHED     2844
  TCP    127.0.0.1:53410        127.0.0.1:53411        ESTABLISHED     2844
  TCP    127.0.0.1:53411        127.0.0.1:53410        ESTABLISHED     2844
  TCP    127.0.0.1:53412        127.0.0.1:53413        ESTABLISHED     2844
  TCP    127.0.0.1:53413        127.0.0.1:53412        ESTABLISHED     2844
  TCP    127.0.0.1:53414        127.0.0.1:18131        ESTABLISHED     2844
  TCP    127.0.0.1:53415        127.0.0.1:53416        ESTABLISHED     2844
  TCP    127.0.0.1:53416        127.0.0.1:53415        ESTABLISHED     2844
  TCP    127.0.0.1:53417        127.0.0.1:53418        ESTABLISHED     2844
  TCP    127.0.0.1:53418        127.0.0.1:53417        ESTABLISHED     2844
  TCP    127.0.0.1:53419        127.0.0.1:53420        ESTABLISHED     24400
  TCP    127.0.0.1:53420        127.0.0.1:53419        ESTABLISHED     24400
  TCP    127.0.0.1:53421        127.0.0.1:53422        ESTABLISHED     18384
  TCP    127.0.0.1:53422        127.0.0.1:53421        ESTABLISHED     18384
  TCP    127.0.0.1:53423        127.0.0.1:11397        ESTABLISHED     18384
  TCP    127.0.0.1:53424        127.0.0.1:53425        ESTABLISHED     18384
  TCP    127.0.0.1:53425        127.0.0.1:53424        ESTABLISHED     18384
  TCP    127.0.0.1:53426        127.0.0.1:53427        ESTABLISHED     18384
  TCP    127.0.0.1:53427        127.0.0.1:53426        ESTABLISHED     18384
  TCP    127.0.0.1:53428        127.0.0.1:53429        ESTABLISHED     2844
  TCP    127.0.0.1:53429        127.0.0.1:53428        ESTABLISHED     2844
  TCP    127.0.0.1:53430        127.0.0.1:53431        ESTABLISHED     18384
  TCP    127.0.0.1:53431        127.0.0.1:53430        ESTABLISHED     18384
  TCP    127.0.0.1:53432        127.0.0.1:14947        ESTABLISHED     18384
  TCP    127.0.0.1:53433        127.0.0.1:53434        ESTABLISHED     18384
  TCP    127.0.0.1:53434        127.0.0.1:53433        ESTABLISHED     18384
  TCP    127.0.0.1:53435        127.0.0.1:53436        ESTABLISHED     18384
  TCP    127.0.0.1:53436        127.0.0.1:53435        ESTABLISHED     18384
  TCP    127.0.0.1:54025        127.0.0.1:65001        ESTABLISHED     7232
  TCP    127.0.0.1:54051        127.0.0.1:49710        ESTABLISHED     14028
  TCP    127.0.0.1:56348        0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:56348        127.0.0.1:56349        ESTABLISHED     20764
  TCP    127.0.0.1:56349        127.0.0.1:56348        ESTABLISHED     21188
  TCP    127.0.0.1:56692        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:56693        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:56695        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:56696        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:56699        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:56701        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:56702        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:57264        127.0.0.1:57265        ESTABLISHED     13964
  TCP    127.0.0.1:57265        127.0.0.1:57264        ESTABLISHED     13964
  TCP    127.0.0.1:57266        127.0.0.1:61326        ESTABLISHED     13964
  TCP    127.0.0.1:57502        127.0.0.1:57503        ESTABLISHED     11904
  TCP    127.0.0.1:57503        127.0.0.1:57502        ESTABLISHED     11904
  TCP    127.0.0.1:57504        127.0.0.1:61326        ESTABLISHED     11904
  TCP    127.0.0.1:59557        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59558        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59561        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59562        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59564        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59565        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59567        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59568        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59572        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59573        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59574        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59575        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59576        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:59577        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:61267        127.0.0.1:61268        ESTABLISHED     20764
  TCP    127.0.0.1:61268        127.0.0.1:61267        ESTABLISHED     20764
  TCP    127.0.0.1:61269        127.0.0.1:61270        ESTABLISHED     20764
  TCP    127.0.0.1:61270        127.0.0.1:61269        ESTABLISHED     20764
  TCP    127.0.0.1:61271        127.0.0.1:61272        ESTABLISHED     20764
  TCP    127.0.0.1:61272        127.0.0.1:61271        ESTABLISHED     20764
  TCP    127.0.0.1:61277        127.0.0.1:61278        ESTABLISHED     20764
  TCP    127.0.0.1:61278        127.0.0.1:61277        ESTABLISHED     20764
  TCP    127.0.0.1:61280        127.0.0.1:61281        ESTABLISHED     20764
  TCP    127.0.0.1:61281        127.0.0.1:61280        ESTABLISHED     20764
  TCP    127.0.0.1:61282        127.0.0.1:61283        ESTABLISHED     20764
  TCP    127.0.0.1:61283        127.0.0.1:61282        ESTABLISHED     20764
  TCP    127.0.0.1:61284        127.0.0.1:61285        ESTABLISHED     20764
  TCP    127.0.0.1:61285        127.0.0.1:61284        ESTABLISHED     20764
  TCP    127.0.0.1:61286        127.0.0.1:61287        ESTABLISHED     20764
  TCP    127.0.0.1:61287        127.0.0.1:61286        ESTABLISHED     20764
  TCP    127.0.0.1:61288        127.0.0.1:61289        ESTABLISHED     20764
  TCP    127.0.0.1:61289        127.0.0.1:61288        ESTABLISHED     20764
  TCP    127.0.0.1:61290        127.0.0.1:61291        ESTABLISHED     20764
  TCP    127.0.0.1:61291        127.0.0.1:61290        ESTABLISHED     20764
  TCP    127.0.0.1:61292        127.0.0.1:61293        ESTABLISHED     20764
  TCP    127.0.0.1:61293        127.0.0.1:61292        ESTABLISHED     20764
  TCP    127.0.0.1:61294        127.0.0.1:61295        ESTABLISHED     20764
  TCP    127.0.0.1:61295        127.0.0.1:61294        ESTABLISHED     20764
  TCP    127.0.0.1:61296        127.0.0.1:61297        ESTABLISHED     20764
  TCP    127.0.0.1:61297        127.0.0.1:61296        ESTABLISHED     20764
  TCP    127.0.0.1:61298        127.0.0.1:61299        ESTABLISHED     20764
  TCP    127.0.0.1:61299        127.0.0.1:61298        ESTABLISHED     20764
  TCP    127.0.0.1:61300        127.0.0.1:61301        ESTABLISHED     20764
  TCP    127.0.0.1:61301        127.0.0.1:61300        ESTABLISHED     20764
  TCP    127.0.0.1:61302        127.0.0.1:61303        ESTABLISHED     20764
  TCP    127.0.0.1:61303        127.0.0.1:61302        ESTABLISHED     20764
  TCP    127.0.0.1:61304        127.0.0.1:61305        ESTABLISHED     20764
  TCP    127.0.0.1:61305        127.0.0.1:61304        ESTABLISHED     20764
  TCP    127.0.0.1:61306        127.0.0.1:61307        ESTABLISHED     20764
  TCP    127.0.0.1:61307        127.0.0.1:61306        ESTABLISHED     20764
  TCP    127.0.0.1:61308        127.0.0.1:61309        ESTABLISHED     20764
  TCP    127.0.0.1:61309        127.0.0.1:61308        ESTABLISHED     20764
  TCP    127.0.0.1:61310        127.0.0.1:61311        ESTABLISHED     20764
  TCP    127.0.0.1:61311        127.0.0.1:61310        ESTABLISHED     20764
  TCP    127.0.0.1:61312        127.0.0.1:61313        ESTABLISHED     20460
  TCP    127.0.0.1:61313        127.0.0.1:61312        ESTABLISHED     20460
  TCP    127.0.0.1:61314        127.0.0.1:61315        ESTABLISHED     20460
  TCP    127.0.0.1:61315        127.0.0.1:61314        ESTABLISHED     20460
  TCP    127.0.0.1:61317        127.0.0.1:5354         ESTABLISHED     20460
  TCP    127.0.0.1:61318        127.0.0.1:61319        ESTABLISHED     20764
  TCP    127.0.0.1:61319        127.0.0.1:61318        ESTABLISHED     20764
  TCP    127.0.0.1:61320        127.0.0.1:61321        ESTABLISHED     20764
  TCP    127.0.0.1:61321        127.0.0.1:61320        ESTABLISHED     20764
  TCP    127.0.0.1:61322        127.0.0.1:5037         ESTABLISHED     20764
  TCP    127.0.0.1:61323        127.0.0.1:5354         ESTABLISHED     20460
  TCP    127.0.0.1:61324        127.0.0.1:5354         ESTABLISHED     20460
  TCP    127.0.0.1:61326        0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:61326        127.0.0.1:57266        ESTABLISHED     20764
  TCP    127.0.0.1:61326        127.0.0.1:57504        ESTABLISHED     20764
  TCP    127.0.0.1:63342        0.0.0.0:0              LISTENING       20764
  TCP    127.0.0.1:64560        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64562        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64563        127.0.0.1:5037         TIME_WAIT       0
  TCP    127.0.0.1:64566        127.0.0.1:5037         TIME_WAIT       0
